rpm,phi,rgf,p_ivc_bar,misfire,error,theta_IGN,theta_25,theta_50,theta_75,theta_90,C_eff,T_peak_K,P_TDC_bar,phi_prime,gamma_ivc,IMEP_bar
3712.6945053718414,0.28280560780123976,0.5504713402669621,1.478782899636758,False,,-14.162343621767489,-5.4338024570212795,-1.590110434635816,2.7872818906690093,7.193147298541356,0.9796565512653234,1149.3119987424511,47.189889700021865,0.12712922583987848,1.37131730209754,0.7609900167779404
3019.0153499332764,0.7266757457170401,0.5443161154045788,1.2027408871122254,False,,-22.19208438077879,-2.4986713678290613,3.0080299446489507,9.432848662735365,15.988607411044041,0.8950570584204158,1074.8571905990646,36.42051325709037,0.33113442664961534,1.3503399344072784,0.7706333271117329
3684.4730719627946,0.695976178212516,0.4653750720698994,1.958895898700872,False,,-18.693311087531576,-4.227998594049971,-0.470232699639692,2.5070912066024573,4.4133206689340545,1.0,2033.997172933965,59.3345508142151,0.3720862141179332,1.3504827985242467,8.8121362937773
3339.7843269310565,0.7732273701593508,0.3567643399186836,2.401335985983472,False,,-36.75699138515408,-9.102924958534935,-6.000141069680657,-4.292002773615274,-3.4306082892985956,0.9999999999999999,2364.825842264197,71.7624691970061,0.4973674178373904,1.3452004936980912,14.272339614362409
3481.6759488300713,0.47583660901971087,0.21766578299332584,2.0085954169827245,False,,-14.185286576170384,-6.003084821626974,-3.356322997309876,-1.4324189641105805,-0.2804526779319904,1.0,2138.060018591122,62.04679710119928,0.37226326094054646,1.3582138290050085,9.427041704797485
3009.8687598577208,0.6826214753688704,0.49257696883649704,1.3291273250664686,False,,-15.765778291120746,-2.6155509783011777,2.1633433634501182,6.994187632440922,10.847307752439432,0.9996746413272061,1837.1533453332584,40.36756813585391,0.3463778581689747,1.3515003158964631,5.195944800447895
3115.8856135448655,0.5765847552337878,0.4275174594803073,1.5504061283445725,False,,-13.977460247705292,-4.092483798289893,-0.485503068344624,2.6591782453789716,4.801841811723886,1.0,1948.3066742067078,47.565112274374776,0.33008470550116403,1.3555476878299022,6.2821903104102725
2823.250303128652,0.6527480703105223,0.4387640065858913,2.4384154376393923,False,,-14.5780313211558,-6.596057285196148,-4.1483148540743535,-2.442217941982135,-1.429827987380905,0.9999999924833038,2076.067909139085,74.1930642260001,0.36634571168986846,1.3520839822989439,10.615454264959732
2088.466786560667,0.5193012375819535,0.4593336393250829,1.3499079716281124,False,,-14.751026992524888,-6.399451384060718,-3.330078066221879,-0.6981812902901064,1.098421698048102,0.9999999999998505,1857.0218695943295,41.745452215360864,0.2807687102174153,1.3587136422017447,4.7372380540515415
1792.576440078033,0.3690268064607402,0.5851109299875765,2.1869524529276596,False,,-17.452362976990617,-10.416374323903828,-8.019104043116739,-5.948307572496591,-4.42286493993786,0.999999997583869,1515.2095698759383,69.1389597670653,0.1531051885421511,1.36729967968368,4.255256068230695
1437.4886040563292,0.5601218882418163,0.5674628676600322,1.990174196184038,False,,-17.190666873857662,-10.012435425297287,-7.769224400884204,-6.03942069988541,-4.902775604293445,0.9999999997794367,1774.4381993752572,61.46658739479939,0.24227351530096317,1.358108209774547,5.977260738750533
2142.8302634645156,0.5958861919336459,0.20852195267057558,1.8221595159776904,False,,-15.70344546365658,-7.802167913219866,-5.6581750086469205,-4.339917765325922,-3.626038194406852,1.0,2357.5223925104196,55.36587065245001,0.47163083962220864,1.351712772375362,10.509949737866346
